-38.65	-5.68	50.94	4	0	PreCG.L
41.37	-8.21	52.09	4	0	PreCG.R
-18.45	34.81	42.2	3	0	SFGdor.L
21.9	31.12	43.82	3	0	SFGdor.R
-16.56	47.32	-13.31	3	0	ORBsup.L
18.49	48.1	-14.02	3	0	ORBsup.R
-33.43	32.73	35.46	7	0	MFG.L
37.59	33.06	34.04	7	0	MFG.R
-30.65	50.43	-9.62	3	0	ORBmid.L
33.18	52.59	-10.73	3	0	ORBmid.R
-48.43	12.73	19.02	7	0	IFGoperc.L
50.2	14.98	21.41	7	0	IFGoperc.R
-45.58	29.91	13.99	7	0	IFGtriang.L
50.33	30.16	14.17	7	0	IFGtriang.R
-35.98	30.71	-12.11	7	0	ORBinf.L
41.22	32.23	-11.91	7	0	ORBinf.R
-47.16	-8.48	13.95	1	0	ROL.L
52.65	-6.25	14.63	1	0	ROL.R
-5.32	4.85	61.38	4	0	SMA.L
8.62	0.17	61.85	4	0	SMA.R
-8.06	15.05	-11.46	2	0	OLF.L
10.43	15.91	-11.26	2	0	OLF.R
-4.8	49.17	30.89	3	0	SFGmed.L
9.1	50.84	30.22	3	0	SFGmed.R
-5.17	54.06	-7.4	3	0	ORBsupmed.L
8.16	51.67	-7.13	3	0	ORBsupmed.R
-5.08	37.07	-18.14	2	0	REC.L
8.35	35.64	-18.04	2	0	REC.R
-35.13	6.65	3.44	7	0	INS.L
39.02	6.25	2.08	7	0	INS.R
-4.04	35.4	13.95	3	0	ACG.L
8.46	37.01	15.84	3	0	ACG.R
-5.48	-14.92	41.57	3	0	DCG.L
8.02	-8.83	39.79	3	0	DCG.R
-4.85	-42.92	24.67	3	0	PCG.L
7.44	-41.81	21.87	3	0	PCG.R
-25.03	-20.74	-10.13	2	3	HIP.L
29.23	-19.78	-10.33	2	3	HIP.R
-21.17	-15.95	-20.7	2	0	PHG.L
25.38	-15.15	-20.47	2	0	PHG.R
-23.27	-0.67	-17.14	2	0	AMYG.L
27.32	0.64	-17.5	2	0	AMYG.R
-7.14	-78.67	6.44	0	0	CAL.L
15.99	-73.15	9.4	0	0	CAL.R
-5.93	-80.13	27.22	0	0	CUN.L
13.51	-79.36	28.23	0	0	CUN.R
-14.62	-67.56	-4.63	0	0	LING.L
16.29	-66.93	-3.87	0	0	LING.R
-16.54	-84.26	28.17	0	0	SOG.L
24.29	-80.85	30.59	0	0	SOG.R
-32.39	-80.73	16.11	0	0	MOG.L
37.39	-79.7	19.42	0	0	MOG.R
-36.36	-78.29	-7.84	0	0	IOG.L
38.16	-81.99	-7.61	0	0	IOG.R
-31.16	-40.3	-20.23	0	0	FFG.L
33.97	-39.1	-20.18	0	0	FFG.R
-42.46	-22.63	48.92	4	0	PoCG.L
41.43	-25.49	52.55	4	0	PoCG.R
-23.45	-59.56	58.96	0	3	SPG.L
26.11	-59.18	62.06	0	3	SPG.R
-42.8	-45.82	46.74	7	0	IPL.L
46.46	-46.29	49.54	7	0	IPL.R
-55.79	-33.64	30.45	7	0	SMG.L
57.61	-31.5	34.48	7	0	SMG.R
-44.14	-60.82	35.59	3	0	ANG.L
45.51	-59.98	38.63	3	0	ANG.R
-7.24	-56.07	48.01	3	3	PCUN.L
9.98	-56.05	43.77	3	3	PCUN.R
-7.63	-25.36	70.07	4	0	PCL.L
7.48	-31.59	68.09	4	0	PCL.R
-11.46	11.0	9.24	5	0	CAU.L
14.84	12.07	9.42	5	0	CAU.R
-23.91	3.86	2.4	5	3	PUT.L
27.78	4.91	2.46	5	3	PUT.R
-17.75	-0.03	0.21	5	0	PAL.L
21.2	0.18	0.23	5	0	PAL.R
-10.85	-17.56	7.98	5	3	THA.L
13.0	-17.55	8.09	5	3	THA.R
-41.99	-18.88	9.98	1	0	HES.L
45.86	-17.15	10.41	1	0	HES.R
-53.16	-20.68	7.13	1	0	STG.L
58.15	-21.78	6.8	1	0	STG.R
-39.88	15.14	-20.18	2	0	TPOsup.L
48.25	14.75	-16.86	2	0	TPOsup.R
-55.52	-33.8	-2.2	6	0	MTG.L
57.47	-37.23	-1.47	6	0	MTG.R
-36.32	14.59	-34.08	2	0	TPOmid.L
44.22	14.55	-32.23	2	0	TPOmid.R
-49.77	-28.05	-23.17	6	0	ITG.L
53.69	-31.07	-22.32	6	0	ITG.R
